sha,date,chrome-version,chrome,firefox-version,firefox,safari-version,safari
edb72456b7341d3dcc14323423a295261f67b25f,2018-08-06,68.0.3440.84,488.37685277582216,61.0.1,1294.6839978208416,11.1,3693.6753938796
eea0b54014e970a2f94f1c35ec6e18ece76beb76,2018-08-07,68.0.3440.84,487.6517065769917,61.0.1,1299.076099985271,11.1,3707.1521616435275
c0a1bc68d7f463a0f7b8a318d3cdc2b56e2cc044,2018-08-16,68.0.3440.106,495.6275063705934,61.0.2,1318.6708078503475,11.1,3710.266384428152
203c34855f6871d6e55eaf7b55b50dad563f781f,2018-08-18,68.0.3440.106,495.4045333976204,61.0.2,1309.0377004234322,11.1,3704.4325524271553
6aef6676d2f95c29de17666cc70d61b517939fbf,2018-08-19,68.0.3440.106,494.6045821878494,61.0.2,1313.059451343872,11.1,3709.8123763274407
268ce53f61d5005c808df3991c5ae47844fe66d8,2018-09-01,68.0.3440.106,506.198300489047,61.0.2,1332.4256652382653,11.1,3710.979487233086
3fd70a99bbed97c5b31e08a40162901c7355af7a,2018-09-02,68.0.3440.106,503.74600429032705,61.0.2,1336.8388160674278,11.1,3716.517457213275
3a58de991a53a5a358234a8ad4e3d7f8d733d34a,2018-09-03,68.0.3440.106,502.9793376236604,61.0.2,1335.9119154826326,11.1,3718.776644073955
5051858e95936197d354cc18ea88365cb9d3e690,2018-09-16,69.0.3497.92,505.1140105355994,62.0,1334.209901852946,11.1,3773.749306931265
7897f9d5beff624590d2fc254d2a7eca6e2b1e8f,2018-09-22,69.0.3497.100,489.38883350232834,62.0.2,1099.3917417782623,11.1,3718.399519566723
5d58e091e71aa3162fe9d0e40858351c8063ca08,2018-09-23,69.0.3497.100,486.40613686682156,62.0.2,1091.5394850940238,11.1,3734.3574713843045
61efc6b6063091fba52e182bc332a5815de0765c,2018-09-24,69.0.3497.100,486.0108616784136,62.0.2,1105.942047808614,11.1,3720.9661824354516
b040cb2a07264d35b9f47cd9deb2fb2889fca6d4,2018-09-25,69.0.3497.100,497.3037946438272,62.0.2,1045.8760856118565,11.1,3845.3954216108837
59909759c4e16ea97804409f7612b7981662d48b,2018-09-26,69.0.3497.100,493.35231263959287,62.0.2,1070.041096872928,11.1,3849.2030848110785
062aedcf8118716290f3f7167ad9922b416a518e,2018-09-27,69.0.3497.100,497.24103529693963,62.0.2,1070.553495212868,11.1,3852.8503742433477
a6e260769e460e764af9a40a8691b0d31e5d3572,2018-09-28,69.0.3497.100,508.1898712757756,62.0.2,1074.227983617174,11.1,3838.932973252708
138337bf938623dbda7c90cbcab3e49aa8a52c0d,2018-09-29,69.0.3497.100,524.4497327023587,62.0.2,1352.6303304590772,11.1,3775.2682460803094
2df7f9ff620cbdaa2928464892fb1dfb880fd6c6,2018-09-30,69.0.3497.100,516.3773327074096,62.0.2,1052.8509439249779,11.1,3763.0136145046968
ee2e69bfb1d44c4013a8ce94ca6932f86d63aa31,2018-10-01,69.0.3497.100,502.316415826384,62.0.2,1072.7016908875435,11.1,3840.656287734883
67152fdecd6e7955f934a4aec9a15407cbcfa3ac,2018-10-02,69.0.3497.100,526.0231545022713,62.0.2,1356.6478248059946,11.1,3778.74586173421
fec3928f355e049657d19780aa4b412d9d3a714b,2018-10-03,69.0.3497.100,497.14117087159605,62.0.3,1091.6392775700826,11.1,3723.6742790495673
e201d802a5cb75d4cf618b8f5e1efe0e34c4ba3b,2018-10-04,69.0.3497.100,484.22508207214815,62.0.3,1101.7565392111844,11.1,3728.458971055924
b4c8ec5a1c8af91c237d80c380e178abe884a4d6,2018-10-05,69.0.3497.100,487.908765678191,62.0.3,1099.6947810781498,11.1,3725.9207321271
c09b8005b27b62fa137414b387c5f6ec32e863b0,2018-10-06,69.0.3497.100,492.0219802052848,62.0.3,1064.555258331506,11.1,3737.003438281214
245cb5053c3a6152a0dd374d684d09a169dc18fe,2018-10-11,69.0.3497.100,680.8825821486755,62.0.3,1667.4700620086185,12.0.1,2820.9753621955147
d647a1bc742a533186d8297cae2a2bee669c7780,2018-10-12,69.0.3497.100,680.994068734012,62.0.3,1661.5978673589111,12.0.1,2825.3061397381953
61720a8cda9b338f29afe0866428bb62196427b4,2018-10-13,69.0.3497.100,655.0261766571344,62.0.3,1303.9408346297516,12.0.1,2783.760871559954
74d709131e3c91d09f1708378648a01957c47b38,2018-10-14,69.0.3497.100,654.6756481352382,62.0.3,1290.6705861135247,12.0.1,2787.313129848969
937ed3c7b19bc4822a4909b2a8429a34c24a293a,2018-10-15,69.0.3497.100,682.3241316781562,62.0.3,1665.380507791415,12.0.1,2820.835176111378
99e577f57cbd9014f7576846bc6ad0c39db2ca15,2018-10-16,69.0.3497.100,648.2403553239159,62.0.3,1292.5635657087414,12.0.1,2736.6124119388987
4f2038853851cb7c58986bc0c93478efa9ce1a62,2018-10-17,70.0.3538.67,582.2509883493517,62.0.3,1324.8997932175682,12.0.1,2754.67985791391
5acd3bcf6609691afc493aed8cb4446e8dc796ee,2018-10-18,70.0.3538.67,577.3446810957288,62.0.3,1307.5595813772966,12.0.1,2755.539425544761
168de7c3328f9f7553993a5aae5ccd1bc1e748f5,2018-10-19,70.0.3538.67,578.6704652090191,62.0.3,1299.59693985061,12.0.1,2753.8615316411756
d44bc3ed386ca3e3d387ee6ca4ff3fbc00838672,2018-10-20,70.0.3538.67,481.3291465268423,62.0.3,1013.6389262517871,11.1,3778.399236044385
2ed748f10d71ebabe08dd642fd8d2745bef8a6c4,2018-10-21,70.0.3538.67,480.3722327601808,62.0.3,1015.8907512444016,11.1,3782.1499325993705
3dbc08a98225021b57e6d2dd70eec6081bcee6b0,2018-10-22,70.0.3538.67,568.2142772085667,62.0.3,1314.8151547208665,12.0.1,2773.3333179626356
f3e2b413499b3b2a9e6ff51c08ca9f0744c51139,2018-10-24,70.0.3538.67,607.5288380210029,63.0,1141.1582147142062,12.0.1,2934.0948610141054
09a1d43536a9c7fad387f92c911745a141b38ed1,2018-10-25,70.0.3538.77,606.4680301817108,63.0,1142.5731442510112,12.0.1,2935.057950523293
f5832ccdb3c303d03565d391ed7ce3bf9719f5c1,2018-10-26,70.0.3538.77,634.082528760679,63.0,1115.3496142930492,12.0.1,2963.12654520791
b622fea47d516f82e303c1954d0aee2652466c80,2018-10-27,70.0.3538.77,606.6004421725347,63.0,1126.4967010326154,12.0.1,2930.1686981714624
71c05e71317fec5f71d5575cd636b0a8e3835f9c,2018-10-28,70.0.3538.77,608.514049956715,63.0,1146.4035461256344,12.0.1,2930.1652857999734
66aabf66f58aee669c26df6e67f85fbc6d3aaf9f,2018-10-29,70.0.3538.77,604.3755143918175,63.0,1136.8159249444543,12.0.1,2929.488089712189
0cc29e423fd0785b5f906a903d9010519595a4ac,2018-10-30,70.0.3538.77,605.775868194684,63.0,1132.1515842230037,12.0.1,2932.2539111895053
75b0f336c50105c6fea47ad253d57219dfa744d3,2018-10-31,70.0.3538.77,607.7132295183173,63.0,1135.2260315306733,12.0.1,2944.6268171474926
8295368c82194ac6c1443571bdd57b464bfc55b4,2018-11-01,70.0.3538.77,631.9009928908656,63.0.1,1126.5562198838843,12.0.1,2973.2861339819474
5d4871b4b8b5f5c489ddab276d68e952a5babb85,2018-11-02,70.0.3538.77,635.4198279164553,63.0.1,1136.9527512803047,12.0.1,2974.0461007613844
c583bcd7eb30f38cb2d673031cde245776f1da5a,2018-11-03,70.0.3538.77,610.4970144243684,63.0.1,1143.5666257405805,12.0.1,2943.889250710534
6e9693d2690e0648fb9a1bd902af7cc078f28515,2018-11-04,70.0.3538.77,610.1401637532254,63.0.1,1133.7710448945877,12.0.1,2942.4315085730645
064f51c50eab34723ef435e80188bde08f718c2c,2018-11-05,70.0.3538.77,611.2782886896633,63.0.1,1146.2168888328051,12.0.1,2941.325249852816
71fe0a6c3d286faafc6c5c9849d7f28d2f14ee20,2018-11-07,70.0.3538.77,611.0226330208505,63.0.1,1126.536696024809,12.0.1,2940.595127074527
349d41838068164e37a1cbd1c8c6ffeba4c72177,2018-11-08,70.0.3538.77,611.7083801720851,63.0.1,1138.529366165315,12.0.1,2945.2678352673124
a516e7edca11e2efe462d2bfc83b5b88dd9f4072,2018-11-09,70.0.3538.77,637.591053707566,63.0.1,1128.0931499592468,12.0.1,2971.655054243347
a0610cf468e6208e74b2cfda77a565ab90fbd74e,2018-11-10,70.0.3538.102,612.6327894340335,63.0.1,1139.5420683404245,12.0.1,2946.4402329101413
abc39b85889509a3d101fd70f930e6f2f2776a4e,2018-11-11,70.0.3538.102,662.7429003638549,63.0.1,1151.7357699367587,12.0.1,2980.0449964905724
89188af97522b15cfe7ab6cc1c9cdb58007f0967,2018-11-13,70.0.3538.102,662.3148334279608,63.0.1,1128.3470152912344,12.0.1,2982.642107468443
7201104211385809c4c53914834f7fe5c7a8b425,2018-11-14,70.0.3538.102,637.7436049219943,63.0.1,1143.1867342184087,12.0.1,2983.0354467454904
6856483bcc86322198f10e0c42385a7f9127eb66,2018-11-15,70.0.3538.102,639.2165490316709,63.0.1,1130.2203790498868,12.0.1,2983.8457511572733
b4c61af0f410976b96279df7f75715091619057d,2018-11-16,70.0.3538.102,640.1978463272187,63.0.3,1132.4596854701056,12.0.1,2981.2441693242336
c1faeb4eb5346a6bcaeb3f406136cb0bfd68d7b5,2018-11-20,70.0.3538.110,641.2111905294357,63.0.3,1156.8659668797152,12.0.1,2979.705069613278
e340f910d3652a059fde65ac0d026df1a003a7be,2018-11-21,70.0.3538.110,644.1741713219525,63.0.3,1161.982143181704,12.0.1,2997.8345227171985
fe0e2ce1f30ee67ed4c3be7ae420d49b48bc5749,2018-11-22,70.0.3538.110,673.4422760157818,63.0.3,1141.3952229732338,12.0.1,3026.3664633345156
40e50ecff750feff8e62dc98a72e9bca3a8c94cf,2018-11-24,70.0.3538.110,646.5950155845385,63.0.3,1150.3139301954532,12.0.1,2996.122142913258
732cc9161d1302127fd4b99a50c13bdff7e253ce,2018-11-25,70.0.3538.110,676.1698167903808,63.0.3,1135.2788163021703,12.0.1,3024.0563898453142
e94ae4b34ee6fa3b7d608a011818f34757193725,2018-11-26,70.0.3538.110,675.7086807504537,63.0.3,1148.5260978725134,12.0.1,3028.618014779295
58523789a079f6b330c37247e035f76371dd1204,2018-11-27,70.0.3538.110,674.8210801735869,63.0.3,1146.7817140326608,12.0.1,3026.029843239524
09972ca7bd566c05f4451b5dda4678e28850a563,2018-11-28,70.0.3538.110,651.5905567180619,63.0.3,1174.1910538523696,12.0.1,2995.4052577308107
38ba0516aac49af3e3cd971038266393aa0e107e,2018-11-29,70.0.3538.110,649.2267386824273,63.0.3,1165.1340169998546,12.0.1,3001.457133397835
00942a1ab7ce9e859adbdc45ea0551090a9a403d,2018-11-30,70.0.3538.110,648.2784322133502,63.0.3,1153.5125475413133,12.0.1,3005.9417038939123
d50692144c7e9f0835bcac87ed23f21a154fd382,2018-12-01,70.0.3538.110,649.3216159306925,63.0.3,1167.3768594064106,12.0.1,3004.973737979144
ef72a20e3dbb89e06df6d193294aed9361f4ad42,2018-12-04,70.0.3538.110,677.9083881545694,63.0.3,1161.9384204257187,12.0.1,3038.0280212672856
614fd870e47c9f4e76291e5af4e32b676c0acac0,2018-12-05,71.0.3578.80,622.2773198548431,63.0.3,1163.8017574275252,12.0.1,3055.6263849313236
093a97b6ecc6484c201d704d38b47bef1964d59d,2018-12-06,71.0.3578.80,631.6108453110439,63.0.3,1180.7541726589263,12.0.1,3056.700884518935
ffcb833670935c1806abf2fc3e5c7ba022c32f1f,2018-12-07,71.0.3578.80,620.5661056692207,63.0.3,1184.9087251032668,12.0.1,3061.2405823707377
6087baf4a83e7953112242be9fd6e719797ebdf6,2018-12-08,71.0.3578.80,630.467894864431,63.0.3,1175.4711566946187,12.0.1,3059.75585966818
5349c6a6327372f856ecbe07d863d468a4236726,2018-12-09,71.0.3578.80,622.4201964711384,63.0.3,1192.872800267842,12.0.1,3060.969698713294
2d5385793ade85b7268ee86db4535a1baeb508ab,2018-12-10,71.0.3578.80,654.983686534135,63.0.3,1159.178378908269,12.0.1,3101.9199968406856
48d5d5033d2f634125d0ae2dd494d68f8d01de79,2018-12-12,71.0.3578.80,634.33598186455,64.0,1078.8517615237665,12.0.1,3193.059557412238
e75e7b667c75aabc4569b46d902b81d40d9b8e44,2018-12-14,71.0.3578.98,623.1727098406129,64.0,1072.4260430054967,12.0.1,3138.5074496038014
e183d8671bde035c7a0168a75119a5f80bd592cb,2018-12-15,71.0.3578.98,641.6502139469031,64.0,1087.1071813659719,12.0.1,3192.4761456096003
4094d6ae8bba520103ebe4df08c60ea3f24a2fa4,2018-12-16,71.0.3578.98,635.4634803370996,64.0,1084.2722719316957,12.0.1,3194.93419309759
11971ac2161859001b861630338c0e47fee1b59a,2018-12-17,71.0.3578.98,636.2868972869094,64.0,1086.245089424464,12.0.1,3197.6035817091906
691e737caf050c5aac0f9675409d73238a3f55d2,2018-12-18,71.0.3578.98,635.4339784163137,64.0,1082.1258827333236,12.0.1,3193.9402465071444
38c37851c8f82b4c909851aef02a71d8301d7922,2018-12-19,71.0.3578.98,656.5161051554765,64.0,1093.4262335970534,12.0.1,3217.2266291400583
e7517084404fca126c4f89eb69217206689adf17,2018-12-24,71.0.3578.98,637.114347322386,64.0,1067.8338519160664,12.0.1,3200.1340221718765
a357943a203d0d587a30c9aa41c4772a0500ff79,2018-12-25,71.0.3578.98,641.9195551762208,64.0,1091.9256613359912,12.0.1,3196.659345981601
64bd43ee19cc4667e4a3020c5894af7dbe68f5cc,2018-12-26,71.0.3578.98,642.9686157386751,64.0,1092.6401943452088,12.0.1,3199.5131053268315
e9174d402d5e0be1e5f13f4ff0d10b4d4204d164,2018-12-27,71.0.3578.98,646.0817533585049,64.0,1082.355593297676,12.0.1,3226.569580349732
a1cc8c0bda2dc784ab07a34473c8f27d4bad7518,2018-12-28,71.0.3578.98,660.1566779559987,64.0,1082.9156701138165,12.0.1,3232.942402569212
0445e8c3f3c646bf19771b643ce96d633f9ceba0,2018-12-29,71.0.3578.98,649.9104451112688,64.0,1094.2669351689442,12.0.1,3259.227196629682
4dbc8a0d7b1b1c032aaddc2579ec7239ad565127,2018-12-30,71.0.3578.98,642.6118624186182,64.0,1071.3223096043205,12.0.1,3265.9799816896284
4dbc8a0d7b1b1c032aaddc2579ec7239ad565127,2018-12-31,71.0.3578.98,644.0770198799828,64.0,1092.0802434557895,12.0.1,3264.3262051908823
75bc93d7d93eb39a83b4f862872976858d9cb0e2,2019-01-01,71.0.3578.98,643.0775622373435,64.0,1093.2835017809425,12.0.1,3264.1942045909414
